correct_name,alt_name
Alex Armah,Alexander Armah
Andrew Van Ginkel,AndrewVanGinkel
Arthur Maulet,Art Maulet
Blessuan Austin,Bless Austin
Brandon Rusnak,Brandon Watson
Cam Batson,Cameron Batson
Cam Johnston,Cameron Johnston
Cam Lewis,Cameron Lewis
Chris Herndon,Christopher Herndon
Chris Jones,Christion Jones
CJ Gardner-Johnson,Chauncey Gardner-Johnson
CreVon LeBlanc,Crevon LeBlanc
DaQuan Jones,Daquan Jones
Darnay Holmes,Darney Holmes
DaRon Payne,Daron Payne
Davon Hamilton,DaVon Hamilton
DeMarcus Lawrence,Demarcus Lawrence
DeVante Parker,Devante Parker
DeVonta Smith,Devonta Smith
Ezekiel Elliott,Zeke Elliott
Ezekiel Turner,Zeke Turner
Folorunso Fatukasi,Foley Fatukasi
HaHa Clinton-Dix,Hasean Clinton-Dix
HaHa Clinton-Dix,HaSean Clinton-Dix
Jacob Dolegala,Jake Dolegala
Jacob Martin,Jake Martin
JaMycal Hasty,Jamycal Hasty
Jeff Wilson,Jeffery Wilson
Jody Fortson,Joe Fortson
Jon Brown,Jonathan Brown
Joshua Perkins,Josh Perkins
KhaDarel Hodge,Khadarel Hodge
LaMical Perine,Lamical Perine
LeVante Bellamy,Levante Bellamy
Matthew Judon,Matt Judon
Matthew Slater,Matt Slater
Michael Badgley,Mike Badgley
Michael Jordan,Mike Jordan
Mitchell Trubisky,Mitch Trubisky
Nate Gerry,Nathan Gerry
Nick Westbrook-Ikhine,Nick Westbrook
Nick Williams,Nicholas Williams
Nickell Robey-Coleman,Nickell Robey
Ola Adeniyi,Olasunkanmi Adeniyi
PJ Walker,Phillip Walker
Rudy Ford,Johnathan Ford
Scott Miller,Scotty Miller
Sean Murphy-Bunting,Sean Bunting
Sebastian Joseph-Day,Sebastian Joseph
Shaquil Barrett,Shaq Barrett
Shaquill Griffin,Shaq Griffin
Steve McLendon,Steve Mclendon
Steven Hauschka,Stephen Hauschka
TJ Carrie,Travis Carrie
Ugo Amadi,Ugochukwu Amadi
Tutu Atwell,Chatarius Atwell
Odafe Oweh,Jayson Oweh
Rob Kelley,Robert Kelley
