nflfastr_event,platform,ff_event
interceptions,espn,passingInterceptions
passing_2pt_conversions,espn,passing2PtConversions
passing_tds,espn,passingTouchdowns
passing_yards,espn,passingYards
passing_yards_25,espn,passing25Yards
receiving_2pt_conversions,espn,receiving2PtConversions
receiving_fumbles_lost,espn,lostFumbles
receiving_tds,espn,receivingTouchdowns
receiving_yards,espn,receivingYards
receiving_yards_10,espn,receiving10Yards
receptions,espn,receivingReceptions
rushing_2pt_conversions,espn,rushing2PtConversions
rushing_fumbles_lost,espn,lostFumbles
rushing_tds,espn,rushingTouchdowns
rushing_yards,espn,rushingYards
rushing_yards_10,espn,rushing10Yards
sack_fumbles_lost,espn,lostFumbles
special_teams_tds,espn,kickoffReturnTouchdown
fg_missed,espn,missedFieldGoals
fg_made,espn,madeFieldGoals
fg_made_0_19,espn,madeFieldGoalsFromUnder40
fg_made_20_29,espn,madeFieldGoalsFromUnder40
fg_made_30_39,espn,madeFieldGoalsFromUnder40
fg_missed_0_19,espn,missedFieldGoalsFromUnder40
fg_missed_20_29,espn,missedFieldGoalsFromUnder40
fg_missed_30_39,espn,missedFieldGoalsFromUnder40
fg_made_40_49,espn,madeFieldGoalsFrom40To49
fg_missed_40_49,espn,missedFieldGoalsFrom40To49
fg_made_50_59,espn,madeFieldGoalsFrom50To59
fg_missed_50_59,espn,missedFieldGoalsFrom50to59
fg_made_60_,espn,madeFieldGoalsFrom60Plus
fg_missed_60_,espn,missedFieldGoalsFrom60Plus
pat_made,espn,madeExtraPoints
pat_missed,espn,missedExtraPoints
interceptions,fleaflicker,7
passing_2pt_conversions,fleaflicker,4
passing_first_downs,fleaflicker,133
passing_tds,fleaflicker,5
passing_yards,fleaflicker,3
receiving_2pt_conversions,fleaflicker,43
receiving_first_downs,fleaflicker,131
receiving_fumbles_lost,fleaflicker,27
receiving_tds,fleaflicker,44
receiving_yards,fleaflicker,42
receptions,fleaflicker,41
rushing_2pt_conversions,fleaflicker,23
rushing_first_downs,fleaflicker,132
rushing_fumbles_lost,fleaflicker,27
rushing_tds,fleaflicker,24
rushing_yards,fleaflicker,22
sack_fumbles_lost,fleaflicker,27
special_teams_tds,fleaflicker,63
fg_made,fleaflicker,101
fg_missed,fleaflicker,103
fg_made_distance,fleaflicker,102
fg_missed_distance,fleaflicker,106
fg_att,fleaflicker,107
fg_pct,fleaflicker,109
pat_made,fleaflicker,104
pat_missed,fleaflicker,105
pat_att,fleaflicker,108
pat_pct,fleaflicker,110
attempts,mfl,PA
carries,mfl,RA
completions,mfl,PC
interceptions,mfl,IN
passing_2pt_conversions,mfl,P2
passing_first_downs,mfl,1P
passing_first_downs,mfl,FD
passing_tds,mfl,#P
passing_yards,mfl,PY
receiving_2pt_conversions,mfl,C2
receiving_first_downs,mfl,1C
receiving_first_downs,mfl,FD
receiving_fumbles,mfl,FUO
receiving_fumbles_lost,mfl,FL
receiving_tds,mfl,#C
receiving_yards,mfl,CY
receptions,mfl,CC
rushing_2pt_conversions,mfl,R2
rushing_first_downs,mfl,1R
rushing_first_downs,mfl,FD
rushing_fumbles,mfl,FUO
rushing_fumbles_lost,mfl,FL
rushing_tds,mfl,#R
rushing_yards,mfl,RY
sack_fumbles,mfl,FUO
sack_fumbles_lost,mfl,FL
sacks,mfl,TSK
special_teams_tds,mfl,#KT
targets,mfl,TGT
sack_yards,mfl,TSY
fg_made,mfl,#F
fg_made_distance,mfl,FG
fg_missed,mfl,#M
fg_missed_distance,mfl,MG
fg_att,mfl,#A
fg_pct,mfl,FGP
fg_blocked,mfl,HBF
pat_made,mfl,EP
pat_missed,mfl,EM
pat_att,mfl,EA
pat_pct,mfl,EPP
pat_blocked,mfl,HBE
attempts,sleeper,pass_att
carries,sleeper,rush_att
completions,sleeper,pass_cmp
interceptions,sleeper,pass_int
passing_2pt_conversions,sleeper,pass_2pt
passing_first_downs,sleeper,pass_fd
passing_tds,sleeper,pass_td
passing_yards,sleeper,pass_yd
receiving_2pt_conversions,sleeper,rec_2pt
receiving_first_downs,sleeper,rec_fd
receiving_fumbles_lost,sleeper,fum_lost
receiving_tds,sleeper,rec_td
receiving_yards,sleeper,rec_yd
receptions,sleeper,rec
rushing_2pt_conversions,sleeper,rush_2pt
rushing_first_downs,sleeper,rush_fd
rushing_fumbles_lost,sleeper,fum_lost
rushing_tds,sleeper,rush_td
rushing_yards,sleeper,rush_yd
sack_fumbles_lost,sleeper,fum_lost
sacks,sleeper,pass_sack
special_teams_tds,sleeper,def_st_td
fg_made,sleeper,fgm
fg_made_0_19,sleeper,fgm_0_19
fg_made_20_29,sleeper,fgm_20_29
fg_made_30_39,sleeper,fgm_30_39
fg_made_40_49,sleeper,fgm_40_49
fg_made_50_59,sleeper,fgm_50p
fg_made_60_,sleeper,fgm_50p
fg_made_distance,sleeper,fgm_yards
fg_missed,sleeper,fgmiss
fg_missed_0_19,sleeper,fgmiss_0_19
fg_missed_20_29,sleeper,fgmiss_20_29
fg_missed_30_39,sleeper,fgmiss_30_39
fg_missed_40_49,sleeper,fgmiss_40_49
fg_missed_50_59,sleeper,fgmiss_50p
fg_missed_60_,sleeper,fgmiss_50p
pat_made,sleeper,xpm
pat_missed,sleeper,xpmiss
